6.3124	0.211	-0.001
6.3327	0.211	-0.017
6.3589	0.209	-0.032
6.3756	0.207	-0.045
6.3926	0.204	-0.057
6.4127	0.2	-0.068
6.433	0.197	-0.078
6.4582	0.193	-0.086
6.4743	0.19	-0.093
6.493	0.187	-0.099
6.513	0.184	-0.104
6.5331	0.182	-0.108
6.5585	0.18	-0.111
6.5744	0.179	-0.113
6.5936	0.179	-0.113
6.6136	0.179	-0.113
6.6338	0.179	-0.112
6.6584	0.181	-0.11
6.6753	0.183	-0.106
6.694	0.185	-0.102
6.725	0.188	-0.097
6.7344	0.191	-0.09
6.7582	0.195	-0.082
6.7746	0.198	-0.073
6.7944	0.202	-0.063
6.8146	0.205	-0.051
6.8416	0.208	-0.038
6.8579	0.21	-0.024
6.8748	0.211	-0.009
6.8948	0.211	0.008
6.9243	0.21	0.025
6.9411	0.207	0.044
6.958	0.202	0.063
6.975	0.195	0.083
6.9951	0.185	0.103
7.0152	0.172	0.123
7.0419	0.157	0.142
7.0585	0.139	0.159
7.0755	0.118	0.176
7.0955	0.094	0.189
7.1156	0.068	0.2
7.1411	0.039	0.208
7.1577	0.009	0.211
7.1757	-0.023	0.21
7.1958	-0.055	0.204
7.2249	-0.087	0.193
7.2412	-0.117	0.176
7.259	-0.145	0.154
7.2763	-0.169	0.127
7.2964	-0.189	0.095
7.3251	-0.203	0.06
7.3414	-0.21	0.021
7.3586	-0.211	-0.019
7.3767	-0.203	-0.059
7.3968	-0.187	-0.098
7.4248	-0.164	-0.134
7.4424	-0.133	-0.164
7.4591	-0.096	-0.188
7.4771	-0.054	-0.205
7.4971	-0.009	-0.211
7.525	0.038	-0.208
7.5415	0.083	-0.194
7.5584	0.125	-0.171
7.5774	0.161	-0.137
7.5975	0.188	-0.096
7.625	0.206	-0.049
7.6422	0.211	0.001
7.6589	0.205	0.052
7.6777	0.186	0.1
7.7079	0.156	0.143
7.718	0.115	0.178
7.7414	0.067	0.201
7.7581	0.013	0.211
7.7781	-0.041	0.207
7.8085	-0.093	0.19
7.8253	-0.14	0.159
7.8413	-0.177	0.116
7.8589	-0.201	0.066
7.8784	-0.211	0.01
7.8987	-0.206	-0.048
7.9254	-0.186	-0.101
7.9412	-0.151	-0.148
7.9589	-0.105	-0.184
7.9788	-0.051	-0.205
7.9993	0.008	-0.211
8.0252	0.066	-0.201
8.0424	0.119	-0.175
8.0591	0.163	-0.134
8.0799	0.194	-0.083
8.0994	0.21	-0.026
8.1251	0.209	0.034
8.1418	0.191	0.092
8.1595	0.157	0.142
8.1795	0.111	0.18
8.2087	0.055	0.204
8.2247	-0.005	0.211
8.2413	-0.064	0.202
8.2598	-0.118	0.175
8.2799	-0.163	0.135
8.3077	-0.194	0.083
8.3244	-0.21	0.025
8.3415	-0.209	-0.035
8.3601	-0.191	-0.092
8.3802	-0.157	-0.141
8.4006	-0.112	-0.179
8.4249	-0.058	-0.203
8.4416	0.001	-0.211
8.4605	0.059	-0.203
8.4805	0.113	-0.179
8.5078	0.157	-0.142
8.5244	0.19	-0.094
8.5413	0.208	-0.039
8.5608	0.211	0.018
8.5808	0.198	0.074
8.6013	0.172	0.123
8.6246	0.133	0.164
8.6415	0.086	0.193
